iter	Passed	Remaining
933	5870	414
934	5876	408
935	5883	402
936	5889	395
937	5895	389
938	5901	383
939	5907	377
940	5914	370
941	5920	364
942	5926	358
943	5932	351
944	5938	345
945	5945	339
946	5951	333
947	5957	326
948	5963	320
949	5969	314
950	5976	307
951	5984	301
952	5990	295
953	5996	289
954	6002	282
955	6009	276
956	6015	270
957	6020	263
958	6027	257
959	6033	251
960	6039	245
961	6045	238
962	6051	232
963	6058	226
964	6065	219
965	6071	213
966	6079	207
967	6085	201
968	6092	194
969	6098	188
970	6105	182
971	6112	176
972	6117	169
973	6124	163
974	6131	157
975	6137	150
976	6143	144
977	6149	138
978	6155	132
979	6161	125
980	6167	119
981	6173	113
982	6180	106
983	6186	100
984	6192	94
985	6198	88
986	6205	81
987	6210	75
988	6216	69
989	6223	62
990	6229	56
991	6235	50
992	6241	43
993	6247	37
994	6253	31
995	6259	25
996	6265	18
997	6271	12
998	6278	6
999	6284	0
